model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,month,interval_n,coverage,mean_width_f
Station blend residual,155,1.638701440833257,2.172700468160206,0.36867909016690115,1.3442676067352295,3.247975415907288,0.36774193548387096,0.7225806451612903,0.864516129032258,0.3317581601442915,10,,,
Seasonal climatology,150,5.730011695906432,7.715183204070463,2.516327485380117,4.266666666666666,12.852631578947362,0.18666666666666668,0.3,0.4,-1.3368726329145324,11,,,
NBM,150,2.4519999999999995,3.0008221095781957,-1.4306666666666665,2.200000000000003,4.700000000000003,0.22666666666666666,0.46,0.7,0.0,11,,,
Ridge residual,150,1.7215020607231584,2.3346925840288946,0.37957818343880606,1.3364500464990527,3.6853109376631736,0.37333333333333335,0.7,0.86,0.29791922482742306,11,,,
XGBoost residual,150,1.5783655684391664,2.3054769666103003,0.36945219957828324,0.9609699487686214,3.6215828967094392,0.52,0.74,0.8533333333333334,0.3562946295109434,11,150.0,0.7266666666666667,4.129670841217035
Station blend residual,150,1.6255443830574376,2.2967338463017817,0.3502017377488711,1.1407022851397528,3.2888155470543077,0.4666666666666667,0.7333333333333333,0.8533333333333334,0.33705367738277403,11,,,
Seasonal climatology,155,5.924432882414152,7.473209184710753,1.171768990634754,4.612903225806448,12.459999999999997,0.06451612903225806,0.15483870967741936,0.3096774193548387,-1.0334080973742106,12,,,
NBM,155,2.913548387096774,3.486860127448059,-1.3303225806451613,2.5,5.600000000000001,0.16129032258064516,0.3741935483870968,0.5741935483870968,0.0,12,,,
Ridge residual,155,2.0992945518765405,2.848535479961897,0.5029292822066469,1.483113907608086,5.191997381933728,0.3870967741935484,0.6064516129032258,0.7354838709677419,0.279471533346183,12,,,
XGBoost residual,155,2.2340950798519676,2.8976411729960705,0.010460240926232104,1.7901211500167875,4.889160323143001,0.33548387096774196,0.5290322580645161,0.6967741935483871,0.23320474451493578,12,155.0,0.567741935483871,4.441837245630876
Station blend residual,155,2.1099946606504822,2.803029313267755,0.23999257396649448,1.7397975804856785,5.014285636708041,0.4,0.5870967741935483,0.7354838709677419,0.2757989982266945,12,,,
