model,n,mae_f,rmse_f,bias_f,median_ae_f,p90_ae_f,within_1f,within_2f,within_3f,mae_skill_vs_nbm,station,interval_n,coverage,mean_width_f
XGBoost residual,492,1.8429207672115144,2.510182672421698,0.3136521429323205,1.3290398180484786,3.90502074480058,0.3882113821138211,0.6504065040650406,0.8150406504065041,0.1969559671702551,KOKC,492.0,0.7113821138211383,4.678289316873243
Station blend residual,492,1.8596503106155016,2.5091422884819354,0.2654991939995104,1.3760475650740815,4.00463921629242,0.3780487804878049,0.6483739837398373,0.8028455284552846,0.18966614753093025,KOKC,,,
Seasonal climatology,492,8.785597006496921,11.331935808587232,-1.1630261356863614,7.0,18.464342105263164,0.07723577235772358,0.16056910569105692,0.23373983739837398,-2.3481903386494856,KPHL,,,
NBM,492,2.623983739837398,3.2179817438986573,-1.9296747967479673,2.299999999999997,5.299999999999997,0.22764227642276422,0.43902439024390244,0.6260162601626016,0.0,KPHL,,,
Ridge residual,492,1.9709492926037564,2.5237505788782433,-0.04191691697293138,1.6463230961756352,4.20961003023258,0.3475609756097561,0.5894308943089431,0.7723577235772358,0.2488713772571276,KPHL,,,
XGBoost residual,492,1.7777401385260971,2.2975266268631156,0.07713516802277211,1.399383395910256,3.7677878224849737,0.3475609756097561,0.6747967479674797,0.8211382113821138,0.32250337091027115,KPHL,492.0,0.7276422764227642,4.72898778691888
Station blend residual,492,1.8225824686999574,2.362727200911943,0.03397969166071371,1.4158736059328305,3.844159055971968,0.3556910569105691,0.6565040650406504,0.8008130081300813,0.30541396235447005,KPHL,,,
Seasonal climatology,492,8.05403509729546,10.531271555529647,-4.020505134000894,6.013513513513516,17.83333333333333,0.08739837398373984,0.18089430894308944,0.27235772357723576,-3.3174823140873464,KPHX,,,
NBM,492,1.8654471544715445,2.2475460873214916,-1.5808943089430894,1.7000000000000028,3.4000000000000057,0.3008130081300813,0.6036585365853658,0.8536585365853658,0.0,KPHX,,,
Ridge residual,492,1.3246699405223301,1.798422311536367,0.2391240334613108,1.017922407927962,2.736844356101901,0.4898373983739837,0.8008130081300813,0.9146341463414634,0.2898914679265783,KPHX,,,
XGBoost residual,492,1.2325466356615014,1.6903242548701438,0.095625083319221,0.9472216963768005,2.5964860057830923,0.524390243902439,0.8353658536585366,0.9349593495934959,0.3392755014758567,KPHX,492.0,0.7195121951219512,3.111394544939199
Station blend residual,492,1.2385721067952926,1.6964058175884031,0.13441734601994756,0.9858433723449664,2.5820369327068367,0.5060975609756098,0.8373983739837398,0.9308943089430894,0.3360454602927827,KPHX,,,
Seasonal climatology,492,6.190669401863037,8.682920372328205,-1.6359112146804264,3.86666666666666,15.58115055079559,0.21747967479674796,0.32723577235772355,0.42276422764227645,-2.1325818633308797,KSAT,,,
NBM,492,1.9762195121951218,2.534722287188625,-0.5981707317073169,1.7000000000000028,4.099999999999994,0.3333333333333333,0.6178861788617886,0.8028455284552846,0.0,KSAT,,,
Ridge residual,492,1.84525977119294,2.4403502995411395,0.1560907016506418,1.3996205165889677,3.7790693734891807,0.3434959349593496,0.6443089430894309,0.8089430894308943,0.06626781093600076,KSAT,,,
XGBoost residual,492,1.7525959380160328,2.3421556607189733,0.2720530378420232,1.3672782927751541,3.5754352724552083,0.39227642276422764,0.6544715447154471,0.806910569105691,0.11315725444421665,KSAT,492.0,0.725609756097561,4.723689476082608
Station blend residual,492,1.7722548925641086,2.369011755226706,0.22054087968681177,1.3625777711294447,3.6070640570522814,0.3861788617886179,0.6626016260162602,0.8252032520325203,0.10320949589474293,KSAT,,,
Seasonal climatology,492,6.406316967571686,8.440553216086357,-2.0061624521074495,5.142857142857139,14.5,0.11178861788617886,0.21747967479674796,0.3089430894308943,-1.9219504478031606,KSEA,,,
NBM,492,2.1924796747967483,2.730522300315514,-1.2563008130081303,2.0,4.190000000000006,0.2621951219512195,0.5182926829268293,0.7398373983739838,0.0,KSEA,,,
Ridge residual,492,1.987054906304359,2.7326873786305703,0.3830726800445931,1.5291205846741462,4.383484326343117,0.3638211382113821,0.6016260162601627,0.8028455284552846,0.0936951757655099,KSEA,,,
XGBoost residual,492,1.870427990483491,2.660378964240874,0.42719337218195047,1.3626446962356624,4.186749557256703,0.3800813008130081,0.6707317073170732,0.8089430894308943,0.14688924509328127,KSEA,492.0,0.6971544715447154,4.540206095982129
Station blend residual,492,1.8960840231421978,2.6753329472031244,0.5075969872386047,1.4154714254436236,4.207907199859625,0.3800813008130081,0.6646341463414634,0.8109756097560976,0.1351874113414655,KSEA,,,
Seasonal climatology,492,4.579909950847248,6.203792701438066,-1.568565698705548,3.447222222222223,9.881063122923587,0.17479674796747968,0.29065040650406504,0.45528455284552843,-0.6612471953825168,KSFO,,,
NBM,492,2.7569105691056914,3.5377292795357524,-1.4308943089430894,2.200000000000003,5.700000000000003,0.23577235772357724,0.4695121951219512,0.6463414634146342,0.0,KSFO,,,
Ridge residual,492,2.4198552728468896,3.1661507074327133,0.44516785395864217,1.8362667469239966,5.073651424860056,0.27439024390243905,0.5203252032520326,0.6951219512195121,0.12225833512188922,KSFO,,,
XGBoost residual,492,2.4220539632548648,3.1975614576744906,0.6443302619081696,1.8849775075912483,5.510163856744756,0.30284552845528456,0.5264227642276422,0.7195121951219512,0.12146081545164167,KSFO,492.0,0.6686991869918699,5.664611084934899
Station blend residual,492,2.3622451867237833,3.130878243467726,0.4651010505204485,1.8307131260831184,5.230465140563055,0.2967479674796748,0.516260162601626,0.733739837398374,0.14315494554106367,KSFO,,,
